gdp_id,rank,country,gdpPerCapita
1,203,Monaco,164823.4258
2,202,Liechtenstein,162444.3334
3,71,Luxembourg,117724.5846
4,193,Bermuda,98386.9264
5,81,Macau,95725.6270
6,20,Switzerland,85584.5582
7,32,Ireland,82058.0317
8,31,Norway,80908.2275
9,106,Iceland,78597.9493
10,53,Qatar,70810.2211
11,1,United States,67063.2695
12,36,Singapore,66983.2635
13,39,Denmark,62937.3768
14,195,Cayman Islands,58490.0129
15,14,Australia,58096.7349
16,23,Sweden,57105.1458
17,17,Netherlands,55730.2675
18,34,Hong Kong,53626.1196
19,29,Austria,53481.7582
20,44,Finland,52203.1433
21,4,Germany,49617.1450
22,173,San Marino,49276.4728
23,10,Canada,48552.8727
24,24,Belgium,47782.4861
25,33,Israel,46670.8297
26,52,New Zealand,46647.0616
27,30,United Arab Emirates,45410.6921
28,7,France,44061.5183
29,3,Japan,43450.1405
30,6,United Kingdom,43117.5725
31,201,Greenland,40213.6319
32,122,Malta,37002.0587
33,191,Andorra,36994.8441
34,63,Puerto Rico,36393.6910
35,130,Bahamas,34863.8504
36,8,Italy,34574.7083
37,11,South Korea,34023.5563
38,58,Kuwait,33484.7495
39,205,New Caledonia,33085.0474
40,128,Brunei,32643.8526
41,194,British Virgin Islands,32127.1910
42,13,Spain,32019.8291
43,83,Slovenia,28001.3161
44,161,Aruba,27649.2516
45,22,Taiwan,26607.0868
46,100,Estonia,25053.9941
47,207,Sint Maarten,25003.8959
48,48,Portugal,24509.0843
49,47,Czech Republic,24254.0350
50,96,Bahrain,23923.1300
51,211,Turks and Caicos Islands,23698.9047
52,19,Saudi Arabia,22693.8854
53,192,Anguilla,22496.8653
54,51,Greece,22114.4398
55,107,Cyprus,21822.8381
56,60,Slovakia,21503.0583
57,84,Lithuania,21159.3993
58,177,Saint Kitts and Nevis,21015.4326
59,97,Latvia,20200.4243
60,200,French Polynesia,19287.2191
61,198,Curacao,19022.4444
62,153,Barbados,18578.5124
63,171,Antigua and Barbuda,18472.5669
64,55,Hungary,18398.2963
65,80,Uruguay,18257.3199
66,186,Palau,17906.4883
67,172,Seychelles,17682.2882
68,70,Panama,17496.6574
69,21,Poland,16996.8719
70,111,Trinidad and Tobago,16602.5003
71,196,Cook Islands,16522.1017
72,69,Oman,16480.1573
73,43,Chile,16402.8930
74,77,Croatia,15733.4468
75,46,Romania,13677.9929
76,79,Costa Rica,12457.5049
77,204,Montserrat,12430.1633
78,35,Malaysia,12419.9781
79,125,Mauritius,12389.8384
80,176,Grenada,11819.8057
81,148,Maldives,11493.9764
82,12,Russia,11426.0880
83,26,Argentina,11402.6811
84,169,Saint Lucia,11267.4062
85,189,Nauru,10809.3126
86,2,China,10746.7828
87,73,Bulgaria,10325.4757
88,15,Mexico,10065.3245
89,9,Brazil,9703.1693
90,18,Turkey,9598.8138
91,85,Turkmenistan,9460.6380
92,56,Kazakhstan,9443.7219
93,150,Montenegro,9139.1669
94,82,Lebanon,8881.4722
95,115,Botswana,8875.9825
96,137,Equatorial Guinea,8740.6494
97,66,Dominican Republic,8338.8413
98,182,Dominica,8196.0381
99,180,Saint Vincent and the Grenadines,8139.5349
100,119,Gabon,8039.1457
101,197,Cuba,7918.4021
102,25,Thailand,7842.8535
103,50,Peru,7405.1947
104,89,Libya,7338.3579
105,40,Colombia,6933.7648
106,78,Belarus,6737.4139
107,157,Suriname,6680.5084
108,131,Macedonia,6575.8716
109,38,South Africa,6520.5790
110,86,Serbia,6510.6541
111,114,Bosnia and Herzegovina,6505.3878
112,94,Paraguay,6361.8308
113,152,Fiji,6326.0992
114,49,Iraq,6139.1520
115,62,Ecuador,6106.0857
116,120,Albania,5980.2689
117,28,Iran,5901.6144
118,155,Guyana,5859.7524
119,127,Namibia,5756.6103
120,121,Jamaica,5645.4094
121,168,Belize,5208.3857
122,68,Guatemala,4891.2209
123,184,Tonga,4844.1270
124,179,Samoa,4838.3683
125,118,Georgia,4734.8231
126,129,Armenia,4680.0077
127,91,Azerbaijan,4677.7958
128,126,Mongolia,4563.3547
129,93,Jordan,4552.6208
130,190,Tuvalu,4494.5726
131,16,Indonesia,4419.5818
132,54,Algeria,4402.5406
133,104,El Salvador,4347.9970
134,67,Sri Lanka,4200.2967
135,154,Swaziland,4147.6895
136,92,Bolivia,4030.8331
137,167,Cape Verde,3971.3159
138,187,Marshall Islands,3852.0020
139,162,Bhutan,3808.9289
140,37,Philippines,3550.3210
141,59,Morocco,3496.4520
142,185,Micronesia,3381.9323
143,57,Ukraine,3365.1347
144,42,Egypt,3238.0117
145,178,Vanuatu,3236.2565
146,134,Moldova,3171.3231
147,113,Laos,3025.6090
148,98,Tunisia,2974.1207
149,65,Angola,2933.8892
150,45,Vietnam,2900.9258
151,165,Djibouti,2630.5668
152,208,Palestine,2626.1542
153,159,Timor-Leste,2588.6556
154,109,Honduras,2580.6173
155,112,Papua New Guinea,2471.6599
156,75,Venezuela,2465.4012
157,27,Nigeria,2406.7284
158,183,Sao Tome and Principe,2404.6469
159,5,India,2360.6592
160,175,Solomon Islands,2339.5508
161,72,Ghana,2325.6248
162,145,Eritrea,2288.5044
163,41,Bangladesh,2084.4027
164,139,Republic of the Congo,2059.9530
165,61,Kenya,2029.2611
166,90,Ivory Coast,1891.0259
167,209,Sudan,1890.2804
168,136,Nicaragua,1880.7304
169,103,Cambodia,1753.0391
170,108,Zimbabwe,1736.6704
171,105,Senegal,1675.9509
172,87,Uzbekistan,1657.7031
173,188,Kiribati,1640.8677
174,95,Cameroon,1583.9380
175,110,Zambia,1374.6770
176,163,Lesotho,1349.9831
177,143,Kyrgyzstan,1345.9132
178,74,Myanmar,1312.3187
179,206,Pakistan,1278.9308
180,210,Syria,1266.4138
181,151,Mauritania,1225.2514
182,101,Nepal,1133.7893
183,76,Tanzania,1086.2786
184,102,Yemen,1052.2711
185,132,Guinea,1035.8039
186,138,Benin,1000.4784
187,117,Mali,954.6274
188,181,Comoros,888.9134
189,64,Ethiopia,864.3693
190,140,Rwanda,854.0622
191,174,Guinea-Bissau,848.0687
192,142,Haiti,846.1282
193,147,Tajikistan,821.7962
194,124,Burkina Faso,778.1557
195,170,Gambia,773.7927
196,135,Chad,763.8563
197,149,Togo,740.6939
198,99,Uganda,735.0079
199,199,North Korea,651.2557
200,160,Liberia,636.0623
201,88,DR Congo,585.9109
202,116,Afghanistan,531.2838
203,156,Sierra Leone,529.1474
204,144,Somalia,524.8149
205,123,Mozambique,521.3173
206,166,Central African Republic,514.5176
207,133,Madagascar,489.0394
208,141,Niger,439.0530
209,146,Malawi,410.9263
210,158,Burundi,312.3427
211,164,South Sudan,249.7828
